
File Path                                          Line Count
---------                                          ----------
modules\adapter.py                                         73
modules\api_manager.py                                    217
modules\app.py                                            401
modules\builder.py                                        236
modules\builder_binance.py                                339
modules\builder_bybit.py                                   78
modules\builder_upbit.py                                  286
modules\cache.go                                           71
modules\cmc_api.py                                        105
modules\config_manager.py                                  42
modules\exchange_api.py                                   543
modules\fetcher.go                                         42
modules\get_market.py                                      10
modules\main.go                                           167
modules\trace_hooking.py                                   62
modules\utils.py                                          108
static\api.js                                               0
static\app_loader.js                                       65
static\chart.js                                           862
static\chart_api.js                                        68
static\chart_data.js                                     1190
static\chart_data_kimchi.js                                79
static\chart_draw.js                                      744
static\chart_layout.js                                    102
static\chart_measure.js                                   317
static\chart_utils.js                                     684
static\lightweight-charts.standalone.production.js          1
static\lwc_error_tracker.js                               209
static\orderbook.js                                       290
static\sim_engine.js                                       85
static\start.js                                           213
static\stream.js                                          335
static\stream_global.js                                   262
static\stream_korea.js                                    210
static\stream_render.js                                    84
static\stream_table.js                                    276
static\stream_utils.js                                     33
static\sweetalert2@11.js                                    2
static\table.js                                           125
static\table_api.js                                        92
static\table_filter.js                                    580
static\table_render.js                                    906
static\table_sort.js                                      118
static\ui_control.js                                      957
static\_main.js                                           606
static\_store.js                                          169


